S1_Temp,S2_Temp,S3_Temp,S4_Temp,S1_Light,S2_Light,S3_Light,S4_Light,S1_Sound,S2_Sound,S3_Sound,S4_Sound,S5_CO2,S5_CO2_Slope,Room_Occupancy_Count
0.909722222,0.352941176,0.816568047,0.888888889,0.909090909,0.906976744,0.660714286,0.135135135,0.005235602,0.032352941,0.011019284,0.005970149,0.616216216,0.678247734,3
0.909722222,0.383529412,0.816568047,0.888888889,0.909090909,0.914728682,0.664285714,0.135135135,0.015706806,0.073529412,0.08815427,0.005970149,0.745945946,0.545568983,3
0.652777778,0.294117647,0.627218935,0.734567901,0,0,0,0,0.002617801,0.002941176,0.005509642,0.002985075,0.556756757,0.187311178,0
0.694444444,0.249411765,0.668639053,0.808641975,0.727272727,0.127906977,0.242857143,0.581081081,0.062827225,0.017647059,0.016528926,0.008955224,0.243243243,0.385448137,1
0.777777778,0.28,0.704142012,0.734567901,0,0,0,0,0.002617801,0.002941176,0.005509642,0.002985075,0.67027027,0.270392749,0
0.173611111,0.103529412,0.224852071,0.537037037,0.078787879,0.054263566,0.210714286,0.581081081,0.007853403,0.002941176,0.005509642,0.011940299,0.010810811,0.412134945,0
0.173611111,0.117647059,0.112426036,0.308641975,0,0,0,0,0.005235602,0.002941176,0.005509642,0.014925373,0.010810811,0.412134945,0
0.951388889,0.383529412,0.852071006,0.888888889,0.903030303,0.914728682,0.635714286,0.135135135,0.047120419,0.026470588,0.011019284,0.011940299,0.664864865,0.651812689,3
0.131944444,0.103529412,0.035502959,0.228395062,0,0,0.003571429,0.013513514,0.002617801,0.002941176,0.002754821,0.011940299,0.005405405,0.401057402,0
0.173611111,0.103529412,0.183431953,0.537037037,0.066666667,0.050387597,0.192857143,0.5,0.010471204,0.011764706,0.008264463,0.005970149,0.016216216,0.413645519,0
0.305555556,0.148235294,0.224852071,0.5,0,0,0,0,0,0.002941176,0.005509642,0.002985075,0.021621622,0.412134945,0
0.694444444,0.249411765,0.627218935,0.691358025,0,0,0,0,0.002617801,0,0.008264463,0.002985075,0.535135135,0.276435045,0
0.826388889,0.249411765,0.668639053,0.845679012,0.721212121,0.093023256,0.682142857,0.175675676,0.19895288,0.105882353,0.73553719,0.152238806,0.32972973,0.588872105,2
